,id,tags
148,53140879336.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
149,53141354368.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
150,53140879326.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
151,53140285437.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
152,53140879261.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
153,53140879291.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
154,53141087379.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
155,53141087374.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
156,53141087384.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
157,53140879216.0,"['nj', 'murphy', 'gov murphy', 'governor', 'Phil Murphy', 'bill signing', 'VFW', 'veterans', 'neptune city', 'shore', 'veteran benefits']"
158,53139850262.0,[]
159,53139894440.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senador Davi Alcolumbre (União-AP)', 'senador Astronauta Marcos Pontes (PL-SP)', 'Brasília', 'DF', 'Brasil']"
